,Time,Sender,Sender_type,Content
0,0:00:11,SkumbagSw3ps,none,ah!
1,0:00:38,JackInTheBx,subscriber,EEEEEEYYYYYYYYYYOOOOOOOOP
2,0:00:40,Kwikwie,subscriber,yo
3,0:00:42,Desune7,none,-
4,0:00:44,fyraell,none,ff13
5,0:00:45,Huuji,subscriber,sardLate sardLate sardLate
6,0:00:52,idaf_killer2,none,cc
7,0:01:07,raptozjesus,none,cc
8,0:01:07,Baptistesavastano,none,v
9,0:01:08,Gamarin47,none,o/
10,0:01:20,MiagicMan,premium,Bonsoir à tous
11,0:01:21,idaf_killer2,none,vous allez bien les gens
12,0:01:24,samourai__,premium,Salut
13,0:01:25,Gueguette1,none,hello
14,0:01:26,Luntac,none,Bonsoir
15,0:01:28,MiagicMan,premium,yep et toi?
16,0:01:29,Mutsumi_623,none,Mon sauveur sanwaGASM
17,0:01:33,gamingkiller112,none,bonsoir
18,0:01:33,idaf_killer2,none,trkl
19,0:01:33,marvin1432,subscriber,salut
20,0:01:34,m_senpai,none,bonsoir
21,0:01:37,code_nado,subscriber,sardAYAYA
22,0:01:41,JuanGu9,premium,HeyGuys HeyGuys HeyGuys
23,0:01:42,john6connor,none,hi bitches
24,0:01:44,FlitWiiK,none,Saluuut
25,0:01:45,iM3SS,subscriber,Khushas je t’aime
26,0:01:49,Skaiyy,none,Oui ❤️
27,0:01:51,stiickerzs,none,ENFIN
28,0:01:53,Vanitooo,none,bonsoooir
29,0:01:53,oxbow501,premium,slt
30,0:01:57,MiagicMan,premium,bonnes fêtes tout le monde
31,0:01:58,EyesLock,none,slt
32,0:01:58,Mutsumi_623,none,sanwaHI
33,0:01:58,Obaachan,none,HeyGuys
34,0:02:00,dimi408,none,yes je me tape une pub
35,0:02:01,theklyntar,subscriber,HE SALUT LES AMIS
36,0:02:06,edfoxcer,premium,sanwaHI sanwaHI sanwaHI sanwaHI sanwaHI
37,0:02:06,Gueguette1,none,chaud pour 3h de valkyrie ? 😂
38,0:02:07,Skaiyy,none,@miagicman merci
39,0:02:09,Valohyn,premium,bonsoir
40,0:02:10,monfrrstream,none,yo
41,0:02:12,Nebraw,none,hello all
42,0:02:14,gamingkiller112,none,yo
43,0:02:16,antho6401,subscriber,arrêtes avec les musiques tristes ça casse le moral xd
44,0:02:18,stunsaregolden,subscriber,sardLate
45,0:02:19,Baptistesavastano,subscriber,yo les magiciens
46,0:02:20,raytoooo,none,Hello guys
47,0:02:20,ddrzti,none,cc
48,0:02:21,Aubishot3,none,Hi
49,0:02:21,JL_Oukone,none,Tiens tiens tiens mais qui voilaje
50,0:02:22,Vins00n,subscriber,sardFire sardFire sardFire sardFire
51,0:02:28,NEPTUNE9999999,none,efinnnnn
52,0:02:35,gamingkiller112,none,plus une autre musique
53,0:02:36,Nebraw,none,On veut du sang; de la GUERRE
54,0:02:37,theklyntar,subscriber,ceux qui etais la toute la nuit derniere il a fait quoi jusqu'a 6h ?
55,0:02:37,gamingkiller112,none,!
56,0:02:38,skyfire_bb,subscriber,skyfire_bb subscribed with Twitch Prime. They've subscribed for 2 months! 
57,0:02:39,kkaaohi,premium,assez hypante la pub de the outer world
58,0:02:43,NaydeeM_,subscriber,sardYop sardYop sardYop sardYop sardYop sardYop sardYop sardYop
59,0:02:46,Zarko_LoI,subscriber,La vidéos que tu nus a partager sur twitter résume complètement ce que fait Netflix La vidéos que tu nus a partager sur twitter résume complètement ce que fait Netflix
60,0:02:52,TTTiennou,none,hmmmmmm
61,0:02:58,Velosanto2,none,lestreamSkell yo
62,0:02:59,Reidre_A,none,Je suis plus sub BibleThump BibleThump BibleThump
63,0:02:59,Gueguette1,none,il s'est arrêter à 4h du mat
64,0:03:12,theklyntar,subscriber,@Gueguette1 okok il a rien fait d'important ?
65,0:03:13,JL_Oukone,none,@theklyntar Trouver un artefact manquant à alfheim
66,0:03:15,HighQualityVignette,subscriber,eyop
67,0:03:15,GTOIkuza,none,Eh bah sub toi de nouveau frère
68,0:03:17,gambeur,subscriber,sardLove
69,0:03:18,TTTiennou,none,@vodeka
70,0:03:20,lordlottot,premium,Yop
71,0:03:20,gamingkiller112,none,je dort à cause de toi !
72,0:03:21,Untardosattarde,subscriber,yooooo
73,0:03:21,theklyntar,subscriber,okok cool !
74,0:03:22,Ayaya_Nakamura,none,sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardAYAYA
75,0:03:25,PoChoppo,subscriber,sardInspect
76,0:03:30,gamingkiller112,none,bye
77,0:03:32,gambeur,subscriber,sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardAYAYA
78,0:03:33,FlitWiiK,none,sardFail
79,0:03:39,NEPTUNE9999999,none,@theklyntar bas ils a trouver presque tout les trésors et les artefacts puis ils est parti au royaume des elfes et ils ces arretez apres ca
80,0:03:42,sweetyoung,subscriber,Coucou
81,0:03:56,strromplayer,none,wsh les clés
82,0:03:56,skeezerrdhg,none,@Gueguette1 toi aussi tu fais parti des chanceux sub qu'il a offert pendant son run sur celeste ? LUL
83,0:03:56,Rueif,subscriber,Rueif subscribed at Tier 1. They've subscribed for 11 months! 
84,0:03:58,bombmast3r,none,ff XIII meilleur musique Kappa
85,0:04:02,Rueif,subscriber,"ca a spam ""mais pourquoi je parle avec eux"" sur nrj ojd yavait un remix nice Oo"
86,0:04:02,pby_carti,premium,il a dinit l'histoire principale ?
87,0:04:06,politicallyincorrect314,subscriber,sardYop sardYop sardYop sardYop
88,0:04:07,atomhunts,subscriber,sardYop sardYop sardYop
89,0:04:10,aeroz60,subscriber,HELLO
90,0:04:11,Thebigrutilla,subscriber,sardYop sardYop
91,0:04:12,Velosanto2,none,sardBan
92,0:04:13,NaydeeM_,subscriber,sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardAYAYA
93,0:04:14,Serial_Gaming_,premium,Sard arrive
94,0:04:16,Mutsumi_623,none,sanwaMUSIQUE sanwaMUSIQUE sanwaMUSIQUE
95,0:04:17,zVasO,subscriber,Yooo
96,0:04:17,skyfire_bb,subscriber,sardYop sardYop
97,0:04:18,Gueguette1,none,@skeezerrdhg sknon xd
98,0:04:21,yasmilli,none,Coucou
99,0:04:21,Flibuste,none,PartyPoro PartyPoro
100,0:04:22,HighQualityVignette,subscriber,sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardYop sardYop sardYop sardYop sardYop sardYop
101,0:04:23,gamingkiller112,none,yes il arrive enfin !
102,0:04:25,MiagicMan,premium,est il de bonne humeur
103,0:04:27,pby_carti,premium,il a finit l'histoire principale ?
104,0:04:30,aeroz60,subscriber,Comment và la tchat ; et les modo ?
105,0:04:31,luxime,subscriber,sardYop sardYop sardYop sardYop
106,0:04:35,bobydrone,subscriber,yo tout le monde
107,0:04:37,politicallyincorrect314,subscriber,politicallyincorrect314 subscribed at Tier 1. They've subscribed for 7 months! sah
108,0:04:39,gamingkiller112,none,yo
109,0:04:40,NEPTUNE9999999,none,@pby_carti non
110,0:04:51,pby_carti,premium,@neptune9999999 il est en a ou ?
111,0:04:52,Velosanto2,none,Ff13
112,0:04:53,Klamache,none,yo
113,0:04:54,MiagicMan,premium,ou va til nous traiter de tous les noms d'oiseaux
114,0:04:54,galolila,none,HeyGuys HeyGuys
115,0:04:54,Ridolim,subscriber,sardYop sardYop sardYop
116,0:04:56,Frozzen_master,subscriber,wesh l'équipe wesh le sard
117,0:04:56,Velosanto2,none,❤️
118,0:04:57,Baptistesavastano,subscriber,Baptistesavastano subscribed at Tier 1. They've subscribed for 2 months! un petit code promo pour les caleçons sard ? CACAHUÈTE20
119,0:04:58,sni71per,none,yo
120,0:04:58,MiagicMan,premium,lol
121,0:05:06,luxime,subscriber,nice musique
122,0:05:08,Zarko_LoI,subscriber,@sardoche en bonnée de Nöel !!!
123,0:05:11,deoliveiboule99,none,Heeeeeeello
124,0:05:17,Zebrech,premium,oh des ost de ff13-2 <3
125,0:05:23,deoliveiboule99,none,COmo esta
126,0:05:23,OriHope,none,FFXIII <3
127,0:05:28,bobydrone,subscriber,sardGasm
128,0:05:28,Yarokin,none,Yop
129,0:05:30,Kunsyde,subscriber,Kunsyde subscribed at Tier 1. They've subscribed for 48 months; currently on a 48 month streak! Go platiner ce jeu !
130,0:05:31,aeroz60,subscriber,YOOOO SARD
131,0:05:31,pitoupitouna,premium,Yop
132,0:05:33,Frozzen_master,subscriber,yoyoyo
133,0:05:35,gambeur,subscriber,salut
134,0:05:35,donovan80300,none,yo
135,0:05:35,theklyntar,subscriber,SARDOCHE <3 <3
136,0:05:37,Zarko_LoI,subscriber,NOËL
137,0:05:37,Daisann,none,Bonsoir o/
138,0:05:38,matjacqu,none,Saluuuut !
139,0:05:39,MiagicMan,premium,Bonsoir Sardoche
140,0:05:40,Peterstyyle,subscriber,Peterstyyle subscribed at Tier 1. They've subscribed for 2 months; currently on a 2 month streak! salut à toi sard !
141,0:05:42,deoliveiboule99,none,Yoooooooooo
142,0:05:42,Nebraw,none,SAAAARDOOOCHE
143,0:05:43,Allan_La_Banane,none,coucou
144,0:05:43,Falcone_Kun,none,k
145,0:05:45,gambeur,subscriber,sardAYAYA sardAYAYA sardAYAYA sardAYAYA
146,0:05:45,Rueif,subscriber,t'as meme pas de gosse de toute facon
147,0:05:46,politicallyincorrect314,subscriber,ahaha
148,0:05:49,sweetyoung,subscriber,Le meilleur Chat de Twitch ici même !!!
149,0:05:49,darkchicken26,none,yoooooooo
150,0:05:49,rhasanamon,none,bonjour !
151,0:05:50,aeroz60,subscriber,Le meilleur streameur dans la place <3
152,0:05:50,Flibuste,none,pas de noel avec la famille? :o
153,0:05:50,jeremy64240,premium,salut !!!
154,0:05:51,darckpolo,none,salut
155,0:05:53,skyfire_bb,subscriber,sardYop
156,0:05:53,Kwikwie,subscriber,ui
157,0:05:54,taexix,none,bjr
158,0:05:54,makarov95,none,Pq le chat et tjrs réservé au abonné ?
159,0:06:00,bobydrone,subscriber,bine et toi
160,0:06:01,Berdof,none,bien le bjr
161,0:06:02,DylanAlphaa,none,sardAYAYA_SA
162,0:06:04,Flibuste,none,Ah si :)
163,0:06:06,Velosanto2,none,Toujours au taffe !!galere
164,0:06:08,notoriousvins,none,salut sard
165,0:06:09,Kunsyde,subscriber,Hello
166,0:06:12,space26,none,yo
167,0:06:12,Netizen29,subscriber,Dance Dance Dance Dance Dance
168,0:06:13,metabreaker1,subscriber,coucou
169,0:06:18,metabreaker1,subscriber,oh noooooo
170,0:06:21,SirTwix_,none,hey
